source_type,source_id,edge_type,target_type,target_id
document,UDQ-QUAL-SPEC-002,depends_on,document,UDQ-EXM-SPEC-001
document,UDQ-REL-SPEC-001,depends_on,document,UDQ-SCM-STD-001
document,UDQ-REL-SPEC-001,depends_on,document,UDQ-AUD-SPEC-001
document,UDQ-REL-SPEC-001,depends_on,document,UDQ-GOV-LOG-001
document,UDQ-REL-SPEC-001,depends_on,document,UDQ-GOV-SPEC-002
document,UDQ-REL-TPL-001,depends_on,document,UDQ-REL-SPEC-001
document,UDQ-REL-TPL-001,depends_on,document,UDQ-SCM-STD-001
document,UDQ-REL-TPL-001,depends_on,document,UDQ-GOV-SPEC-002
document,UDQ-REL-TPL-002,depends_on,document,UDQ-REL-SPEC-001
document,UDQ-REL-TPL-002,depends_on,document,UDQ-SCM-STD-001
document,UDQ-REL-TPL-002,depends_on,document,UDQ-QUAL-SPEC-002
document,UDQ-REM-SPEC-001,depends_on,document,UDQ-ARCH-NAR-001
document,UDQ-REM-SPEC-001,depends_on,document,UDQ-ARCH-NAR-002
document,UDQ-REM-SPEC-001,depends_on,document,UDQ-UI-NAR-001
document,UDQ-REM-SPEC-001,depends_on,document,UDQ-UI-ARCH-001
document,UDQ-REM-SPEC-001,depends_on,document,UDQ-UI-MOD-001
document,UDQ-REM-SPEC-001,depends_on,document,UDQ-SIG-SPEC-001
document,UDQ-REM-SPEC-001,depends_on,document,UDQ-OUT-SPEC-001
document,UDQ-REM-SPEC-001,depends_on,document,UDQ-HIS-SPEC-001
document,UDQ-REM-SPEC-001,depends_on,document,UDQ-LOG-SPEC-001
document,UDQ-REM-SPEC-001,depends_on,document,UDQ-PROT-SPEC-001
document,UDQ-REM-SPEC-001,depends_on,document,UDQ-SEQ-SPEC-001
document,UDQ-REM-SPEC-001,depends_on,document,UDQ-GOV-GLO-001
document,UDQ-REM-SPEC-001,depends_on,document,UDQ-GOV-STD-002
document,UDQ-REM-SPEC-001,depends_on,document,UDQ-SEC-SPEC-001
document,UDQ-REQ-MAT-001,depends_on,document,UDQ-GOV-SPEC-003
document,UDQ-REQ-MAT-001,depends_on,document,UDQ-GOV-SPEC-004
document,UDQ-REQ-MAT-001,depends_on,document,UDQ-GOV-SPEC-005
document,UDQ-REQ-MAT-001,depends_on,document,UDQ-GOV-SPEC-006
document,UDQ-SCM-STD-001,depends_on,document,UDQ-GOV-STD-001
document,UDQ-SCM-STD-001,depends_on,document,UDQ-GOV-SPEC-002
document,UDQ-SCM-STD-001,depends_on,document,UDQ-QUAL-SPEC-002
document,UDQ-SCM-STD-001,depends_on,document,UDQ-AUD-SPEC-001
document,UDQ-SEC-SPEC-001,depends_on,document,UDQ-GOV-STD-001
document,UDQ-SEC-SPEC-001,depends_on,document,UDQ-HIS-SPEC-001
document,UDQ-SEC-SPEC-001,depends_on,document,UDQ-OUT-SPEC-001
